Info,Scientific name,Common name,Alternate name,Family name,Scientific name2,Common name2,Alternate name2,Family name2,View
,,,,,Pachyptila macgillivrayi,MacGillivray's Prion,,Procellariidae,
,Pachyptila belcheri,Thin-billed Prion,,Procellariidae,Pachyptila belcheri,Slender-billed Prion,,Procellariidae,
,Procellaria parkinsoni,Parkinson's Petrel,,Procellariidae,Procellaria parkinsoni,Black Petrel,,Procellariidae,
,Calonectris diomedea,Cory's Shearwater,,Procellariidae,,,,,
,,,,,Calonectris diomedea,Scopoli's Shearwater,,Procellariidae,
,,,,,Calonectris borealis,Cory's Shearwater,,Procellariidae,
,Puffinus pacificus,Wedge-tailed Shearwater,,Procellariidae,Ardenna pacifica,Wedge-tailed Shearwater,,Procellariidae,
,Puffinus bulleri,Buller's Shearwater,,Procellariidae,Ardenna bulleri,Buller's Shearwater,,Procellariidae,
,Puffinus carneipes,Flesh-footed Shearwater,,Procellariidae,Ardenna carneipes,Flesh-footed Shearwater,,Procellariidae,
,Puffinus creatopus,Pink-footed Shearwater,,Procellariidae,Ardenna creatopus,Pink-footed Shearwater,,Procellariidae,
,Puffinus gravis,Great Shearwater,,Procellariidae,Ardenna gravis,Great Shearwater,,Procellariidae,
,Puffinus griseus,Sooty Shearwater,,Procellariidae,Ardenna grisea,Sooty Shearwater,,Procellariidae,
,Puffinus tenuirostris,Short-tailed Shearwater,,Procellariidae,Ardenna tenuirostris,Short-tailed Shearwater,,Procellariidae,
,Puffinus nativitatis,Christmas Island Shearwater,,Procellariidae,Puffinus nativitatis,Christmas Shearwater,,Procellariidae,
,Puffinus newelli,Newell's Shearwater,,Procellariidae,,,,,
,,,,,Puffinus newelli,Newell's Shearwater,,Procellariidae,
,,,,,Puffinus myrtae,Rapa Shearwater,,Procellariidae,
,Puffinus lherminieri,Audubon's Shearwater,,Procellariidae,,,,,
,,,,,Puffinus bailloni,Tropical Shearwater,,Procellariidae,
,,,,,Puffinus subalaris,Galapagos Shearwater,,Procellariidae,
,,,,,Puffinus lherminieri,Audubon's Shearwater,,Procellariidae,
,Puffinus assimilis,Little Shearwater,,Procellariidae,,,,,
,,,,,Puffinus assimilis,Little Shearwater,,Procellariidae,
,,,,,Puffinus elegans,Subantarctic Shearwater,,Procellariidae,
,,,,,Puffinus persicus,Persian Shearwater,,Procellariidae,
,,,,,Puffinus bannermani,Bannerman's Shearwater,,Procellariidae,
,,,,,Puffinus bryani,Bryan's Shearwater,,Procellariidae,
,Oceanites oceanicus,Wilson's Storm-petrel,,Hydrobatidae,Oceanites oceanicus,Wilson's Storm-petrel,,Oceanitidae,
,Oceanites maorianus,New Zealand Storm-petrel,,Hydrobatidae,Fregetta maoriana,New Zealand Storm-petrel,,Oceanitidae,
,Oceanites gracilis,White-vented Storm-petrel,,Hydrobatidae,Oceanites gracilis,White-vented Storm-petrel,,Oceanitidae,
,,,,,Oceanites pincoyae,Pincoya Storm-petrel,,Oceanitidae,
,Garrodia nereis,Grey-backed Storm-petrel,,Hydrobatidae,Garrodia nereis,Grey-backed Storm-petrel,,Oceanitidae,
,Pelagodroma marina,White-faced Storm-petrel,,Hydrobatidae,Pelagodroma marina,White-faced Storm-petrel,,Oceanitidae,
,Fregetta tropica,Black-bellied Storm-petrel,,Hydrobatidae,Fregetta tropica,Black-bellied Storm-petrel,,Oceanitidae,
,Fregetta grallaria,White-bellied Storm-petrel,,Hydrobatidae,Fregetta grallaria,White-bellied Storm-petrel,,Oceanitidae,
,Nesofregetta fuliginosa,White-throated Storm-petrel,,Hydrobatidae,Nesofregetta fuliginosa,Polynesian Storm-petrel,,Oceanitidae,
,Halocyptena microsoma,Least Storm-petrel,,Hydrobatidae,Hydrobates microsoma,Least Storm-petrel,,Hydrobatidae,
,Oceanodroma tethys,Wedge-rumped Storm-petrel,,Hydrobatidae,Hydrobates tethys,Wedge-rumped Storm-petrel,,Hydrobatidae,
,Oceanodroma castro,Madeiran Storm-petrel,,Hydrobatidae,,,,,
,,,,,Hydrobates castro,Band-rumped Storm-petrel,,Hydrobatidae,
,,,,,Hydrobates jabejabe,Cape Verde Storm-petrel,,Hydrobatidae,
,Oceanodroma monteiroi,Monteiro's Storm-petrel,,Hydrobatidae,Hydrobates monteiroi,Monteiro's Storm-petrel,,Hydrobatidae,
,Oceanodroma leucorhoa,Leach's Storm-petrel,,Hydrobatidae,,,,,
,,,,,Hydrobates leucorhous,Leach's Storm-petrel,,Hydrobatidae,
,,,,,Hydrobates socorroensis,Townsend's Storm-petrel,,Hydrobatidae,
,,,,,Hydrobates cheimomnestes,Ainley's Storm-petrel,,Hydrobatidae,
,Oceanodroma monorhis,Swinhoe's Storm-petrel,,Hydrobatidae,Hydrobates monorhis,Swinhoe's Storm-petrel,,Hydrobatidae,
,Oceanodroma macrodactyla,Guadalupe Storm-petrel,,Hydrobatidae,Hydrobates macrodactylus,Guadalupe Storm-petrel,,Hydrobatidae,
,Oceanodroma tristrami,Tristram's Storm-petrel,,Hydrobatidae,Hydrobates tristrami,Tristram's Storm-petrel,,Hydrobatidae,
,Oceanodroma markhami,Markham's Storm-petrel,,Hydrobatidae,Hydrobates markhami,Markham's Storm-petrel,,Hydrobatidae,
,Oceanodroma matsudairae,Matsudaira's Storm-petrel,,Hydrobatidae,Hydrobates matsudairae,Matsudaira's Storm-petrel,,Hydrobatidae,
,Oceanodroma melania,Black Storm-petrel,,Hydrobatidae,Hydrobates melania,Black Storm-petrel,,Hydrobatidae,
,Oceanodroma homochroa,Ashy Storm-petrel,,Hydrobatidae,Hydrobates homochroa,Ashy Storm-petrel,,Hydrobatidae,
,Oceanodroma hornbyi,Ringed Storm-petrel,,Hydrobatidae,Hydrobates hornbyi,Ringed Storm-petrel,,Hydrobatidae,
,Oceanodroma furcata,Fork-tailed Storm-petrel,,Hydrobatidae,Hydrobates furcatus,Fork-tailed Storm-petrel,,Hydrobatidae,
,Pelecanoides garnotii,Peruvian Diving-petrel,,Pelecanoididae,Pelecanoides garnotii,Peruvian Diving-petrel,,Procellariidae,
,Pelecanoides magellani,Magellanic Diving-petrel,,Pelecanoididae,Pelecanoides magellani,Magellanic Diving-petrel,,Procellariidae,
,Pelecanoides georgicus,South Georgia Diving-petrel,,Pelecanoididae,Pelecanoides georgicus,South Georgia Diving-petrel,,Procellariidae,
,,,,,Pelecanoides whenuahouensis,Whenua Hou Diving-petrel,,Procellariidae,
,Pelecanoides urinatrix,Common Diving-petrel,,Pelecanoididae,Pelecanoides urinatrix,Common Diving-petrel,,Procellariidae,
,Fregata minor,Greater Frigatebird,,Fregatidae,Fregata minor,Great Frigatebird,,Fregatidae,
,Fregata andrewsi,Christmas Island Frigatebird,,Fregatidae,Fregata andrewsi,Christmas Frigatebird,,Fregatidae,
,Phalacrocorax africanus,Reed Cormorant,,Phalacrocoracidae,Microcarbo africanus,Long-tailed Cormorant,,Phalacrocoracidae,
,Phalacrocorax coronatus,Crowned Cormorant,,Phalacrocoracidae,Microcarbo coronatus,Crowned Cormorant,,Phalacrocoracidae,
,Phalacrocorax pygmeus,Pygmy Cormorant,,Phalacrocoracidae,Microcarbo pygmaeus,Pygmy Cormorant,,Phalacrocoracidae,
,Phalacrocorax niger,Little Cormorant,,Phalacrocoracidae,Microcarbo niger,Little Cormorant,,Phalacrocoracidae,
,Phalacrocorax melanoleucos,Little Pied Cormorant,,Phalacrocoracidae,Microcarbo melanoleucos,Little Pied Cormorant,,Phalacrocoracidae,
,Phalacrocorax perspicillatus,Pallas's Cormorant,,Phalacrocoracidae,Urile perspicillatus,Spectacled Cormorant,,Phalacrocoracidae,
,Phalacrocorax penicillatus,Brandt's Cormorant,,Phalacrocoracidae,Urile penicillatus,Brandt's Cormorant,,Phalacrocoracidae,
,Phalacrocorax harrisi,Flightless Cormorant,,Phalacrocoracidae,Nannopterum harrisi,Flightless Cormorant,,Phalacrocoracidae,
,Phalacrocorax brasilianus,Neotropic Cormorant,,Phalacrocoracidae,Nannopterum brasilianus,Neotropical Cormorant,,Phalacrocoracidae,
,Phalacrocorax auritus,Double-crested Cormorant,,Phalacrocoracidae,Nannopterum auritus,Double-crested Cormorant,,Phalacrocoracidae,
,Phalacrocorax varius,Large Pied Cormorant,,Phalacrocoracidae,Phalacrocorax varius,Great Pied Cormorant,,Phalacrocoracidae,
,Phalacrocorax bougainvillii,Guanay Cormorant,,Phalacrocoracidae,Leucocarbo bougainvilliorum,Guanay Cormorant,,Phalacrocoracidae,
,Phalacrocorax atriceps,Imperial Shag,,Phalacrocoracidae,,,,,
,,,,,Leucocarbo atriceps,Imperial Shag,,Phalacrocoracidae,
,,,,,Leucocarbo verrucosus,Kerguelen Shag,,Phalacrocoracidae,
,Phalacrocorax campbelli,Campbell Island Shag,,Phalacrocoracidae,Leucocarbo campbelli,Campbell Shag,,Phalacrocoracidae,
,Phalacrocorax carunculatus,New Zealand King Shag,,Phalacrocoracidae,Leucocarbo carunculatus,Rough-faced Shag,,Phalacrocoracidae,
,Phalacrocorax chalconotus,Stewart Island Shag,,Phalacrocoracidae,Leucocarbo chalconotus,Stewart Shag,,Phalacrocoracidae,
,Phalacrocorax onslowi,Chatham Islands Shag,,Phalacrocoracidae,Leucocarbo onslowi,Chatham Shag,,Phalacrocoracidae,
,Phalacrocorax colensoi,Auckland Islands Shag,,Phalacrocoracidae,Leucocarbo colensoi,Auckland Shag,,Phalacrocoracidae,
,Phalacrocorax ranfurlyi,Bounty Islands Shag,,Phalacrocoracidae,Leucocarbo ranfurlyi,Bounty Shag,,Phalacrocoracidae,
,Phalacrocorax magellanicus,Rock Shag,,Phalacrocoracidae,Leucocarbo magellanicus,Rock Shag,,Phalacrocoracidae,
,Phalacrocorax urile,Red-faced Cormorant,,Phalacrocoracidae,Urile urile,Red-faced Cormorant,,Phalacrocoracidae,
,Phalacrocorax pelagicus,Pelagic Cormorant,,Phalacrocoracidae,Urile pelagicus,Pelagic Cormorant,,Phalacrocoracidae,
,Phalacrocorax aristotelis,European Shag,,Phalacrocoracidae,Gulosus aristotelis,European Shag,,Phalacrocoracidae,
,Phalacrocorax gaimardi,Red-legged Cormorant,,Phalacrocoracidae,Poikilocarbo gaimardi,Red-legged Cormorant,,Phalacrocoracidae,
,Phalacrocorax featherstoni,Pitt Island Shag,,Phalacrocoracidae,Phalacrocorax featherstoni,Pitt Shag,,Phalacrocoracidae,
,Anhinga novaehollandiae,Australian Darter,,Anhingidae,Anhinga novaehollandiae,Australasian Darter,,Anhingidae,
,Egretta tricolor,Tricoloured Heron,,Ardeidae,Egretta tricolor,Tricolored Heron,,Ardeidae,
,Egretta garzetta,Little Egret,,Ardeidae,,,,,
,,,,,Egretta garzetta,Little Egret,,Ardeidae,
,,,,,Egretta gularis,Western Reef-egret,,Ardeidae,
,Egretta gularis,Western Reef-egret,,Ardeidae,,,,,
,Ardea picata,Pied Heron,,Ardeidae,Egretta picata,Pied Heron,,Ardeidae,
,Casmerodius albus,Great Egret,,Ardeidae,Ardea alba,Great White Egret,,Ardeidae,
,Mesophoyx intermedia,Intermediate Egret,,Ardeidae,,,,,
,,,,,Ardea intermedia,Intermediate Egret,,Ardeidae,
,,,,,Ardea brachyrhyncha,Yellow-billed Egret,,Ardeidae,
,,,,,Ardea plumifera,Plumed Egret,,Ardeidae,
,,,,,Butorides striata,Green-backed Heron,,Ardeidae,
,Butorides striata,Striated Heron,,Ardeidae,,,,,
,Butorides virescens,Green Heron,,Ardeidae,,,,,
,Gorsachius leuconotus,White-backed Night-heron,,Ardeidae,Calherodius leuconotus,White-backed Night-heron,,Ardeidae,
,Gorsachius melanolophus,Malaysian Night-heron,,Ardeidae,Gorsachius melanolophus,Malay Night-heron,,Ardeidae,
,Ixobrychus minutus,Little Bittern,,Ardeidae,Ixobrychus minutus,Common Little Bittern,,Ardeidae,
,,,,,Ixobrychus dubius,Australian Little Bittern,,Ardeidae,
,Ixobrychus novaezelandiae,Black-backed Bittern,,Ardeidae,,,,,
,,,,,Ixobrychus novaezelandiae,New Zealand Little Bittern,,Ardeidae,
,Botaurus stellaris,Great Bittern,,Ardeidae,Botaurus stellaris,Eurasian Bittern,,Ardeidae,
,,,,,Theristicus branickii,Andean Ibis,,Threskiornithidae,
,Theristicus melanopis,Black-faced Ibis,,Threskiornithidae,,,,,
,,,,,Theristicus melanopis,Black-faced Ibis,,Threskiornithidae,
,Bostrychia olivacea,African Olive Ibis,,Threskiornithidae,,,,,
,Bostrychia bocagei,Dwarf Olive Ibis,,Threskiornithidae,,,,,
,,,,,Bostrychia bocagei,Dwarf Ibis,,Threskiornithidae,
,,,,,Bostrychia olivacea,Olive Ibis,,Threskiornithidae,
,Threskiornis molucca,Australian Sacred Ibis,,Threskiornithidae,Threskiornis moluccus,Australian Ibis,,Threskiornithidae,
,Ciconia episcopus,Woolly-necked Stork,,Ciconiidae,,,,,
,,,,,Ciconia episcopus,Asian Woollyneck,,Ciconiidae,
,,,,,Ciconia microscelis,African Woollyneck,,Ciconiidae,
,Ephippiorhynchus senegalensis,Saddle-billed Stork,,Ciconiidae,Ephippiorhynchus senegalensis,Saddlebill,,Ciconiidae,
,Leptoptilos crumeniferus,Marabou Stork,,Ciconiidae,Leptoptilos crumenifer,Marabou,,Ciconiidae,
,Coragyps atratus,Black Vulture,,Cathartidae,Coragyps atratus,American Black Vulture,,Cathartidae,
,Oxyura jamaicensis,Ruddy Duck,,Anatidae,,,,,
,,,,,Oxyura jamaicensis,Ruddy Duck,,Anatidae,
,,,,,Oxyura ferruginea,Andean Duck,,Anatidae,
,Anser cygnoides,Swan Goose,,Anatidae,Anser cygnoid,Swan Goose,,Anatidae,
,Chen caerulescens,Snow Goose,,Anatidae,Anser caerulescens,Snow Goose,,Anatidae,
,Chen rossii,Ross's Goose,,Anatidae,Anser rossii,Ross's Goose,,Anatidae,
,Chen canagica,Emperor Goose,,Anatidae,Anser canagicus,Emperor Goose,,Anatidae,
,Alopochen mauritianus,Mauritius Shelduck,,Anatidae,Alopochen mauritiana,Mauritius Shelduck,,Anatidae,
,Tadorna radjah,Radjah Shelduck,,Anatidae,Radjah radjah,Radjah Shelduck,,Anatidae,
,Tachyeres pteneres,Flightless Steamerduck,,Anatidae,Tachyeres pteneres,Magellanic Steamerduck,,Anatidae,
,Cairina scutulata,White-winged Duck,,Anatidae,Asarcornis scutulata,White-winged Duck,,Anatidae,
,Sarkidiornis melanotos,Comb Duck,,Anatidae,,,,,
,,,,,Sarkidiornis melanotos,African Comb Duck,,Anatidae,
,,,,,Sarkidiornis sylvicola,American Comb Duck,,Anatidae,
,Chenonetta jubata,Australian Wood Duck,,Anatidae,Chenonetta jubata,Maned Duck,,Anatidae,
,,,,,Chenonetta finschi,Finsch's Duck,,Anatidae,
,Anas penelope,Eurasian Wigeon,,Anatidae,Mareca penelope,Eurasian Wigeon,,Anatidae,
,Anas americana,American Wigeon,,Anatidae,Mareca americana,American Wigeon,,Anatidae,
,Anas sibilatrix,Chiloe Wigeon,,Anatidae,Mareca sibilatrix,Chiloe Wigeon,,Anatidae,
,Anas falcata,Falcated Duck,,Anatidae,Mareca falcata,Falcated Duck,,Anatidae,
,Anas strepera,Gadwall,,Anatidae,Mareca strepera,Gadwall,,Anatidae,
,Anas formosa,Baikal Teal,,Anatidae,Sibirionetta formosa,Baikal Teal,,Anatidae,
,,,,,Anas gibberifrons,Sunda Teal,,Anatidae,
,Anas gibberifrons,Sunda Teal,,Anatidae,,,,,
,,,,,Anas albogularis,Andaman Teal,,Anatidae,
,Anas aucklandica,Auckland Islands Teal,,Anatidae,Anas aucklandica,Auckland Teal,,Anatidae,
,Anas nesiotis,Campbell Islands Teal,,Anatidae,Anas nesiotis,Campbell Teal,,Anatidae,
,Anas platyrhynchos,Mallard,,Anatidae,,,,,
,,,,,Anas platyrhynchos,Mallard,,Anatidae,
,,,,,Anas fulvigula,Mottled Duck,,Anatidae,
,Anas fulvigula,Mottled Duck,,Anatidae,,,,,
,Anas poecilorhyncha,Spot-billed Duck,,Anatidae,,,,,
,,,,,Anas poecilorhyncha,Indian Spot-billed Duck,,Anatidae,
,,,,,Anas zonorhyncha,Chinese Spot-billed Duck,,Anatidae,
,Anas eatoni,Eaton's Pintail,,Anatidae,Anas eatoni,Southern Pintail,,Anatidae,
,Anas erythrorhyncha,Red-billed Duck,,Anatidae,Anas erythrorhyncha,Red-billed Teal,,Anatidae,
,Anas puna,Puna Teal,,Anatidae,Spatula puna,Puna Teal,,Anatidae,
,Anas versicolor,Silver Teal,,Anatidae,Spatula versicolor,Silver Teal,,Anatidae,
,Anas hottentota,Hottentot Teal,,Anatidae,Spatula hottentota,Hottentot Teal,,Anatidae,
,Anas querquedula,Garganey,,Anatidae,Spatula querquedula,Garganey,,Anatidae,
,Anas discors,Blue-winged Teal,,Anatidae,Spatula discors,Blue-winged Teal,,Anatidae,
,Anas cyanoptera,Cinnamon Teal,,Anatidae,Spatula cyanoptera,Cinnamon Teal,,Anatidae,
,Anas platalea,Red Shoveler,,Anatidae,Spatula platalea,Red Shoveler,,Anatidae,
,Anas smithii,Cape Shoveler,,Anatidae,Spatula smithii,Cape Shoveler,,Anatidae,
,Anas rhynchotis,Australasian Shoveler,,Anatidae,Spatula rhynchotis,Australian Shoveler,,Anatidae,
,Anas clypeata,Northern Shoveler,,Anatidae,Spatula clypeata,Northern Shoveler,,Anatidae,
,Melanitta nigra,Black Scoter,,Anatidae,,,,,
,,,,,Melanitta nigra,Common Scoter,,Anatidae,
,,,,,Melanitta americana,Black Scoter,,Anatidae,
,Melanitta fusca,White-winged Scoter,,Anatidae,,,,,
,,,,,Melanitta fusca,Velvet Scoter,,Anatidae,
,,,,,Melanitta deglandi,White-winged Scoter,,Anatidae,
,,,,,Melanitta stejnegeri,Siberian Scoter,,Anatidae,
,Mergus merganser,Common Merganser,,Anatidae,Mergus merganser,Goosander,,Anatidae,
,Mergus australis,Auckland Islands Merganser,,Anatidae,Mergus australis,Auckland Merganser,,Anatidae,
,Pandion haliaetus,Osprey,,Accipitridae,Pandion haliaetus,Osprey,,Pandionidae,
,Aviceda cuculoides,African Baza,,Accipitridae,Aviceda cuculoides,African Cuckoo-hawk,,Accipitridae,
,Aviceda madagascariensis,Madagascar Baza,,Accipitridae,Aviceda madagascariensis,Madagascar Cuckoo-hawk,,Accipitridae,
,Pernis ptilorhyncus,Oriental Honey-buzzard,,Accipitridae,Pernis ptilorhynchus,Oriental Honey-buzzard,,Accipitridae,
,Pernis celebensis,Barred Honey-buzzard,,Accipitridae,,,,,
,,,,,Pernis celebensis,Sulawesi Honey-buzzard,,Accipitridae,
,,,,,Pernis steerei,Philippine Honey-buzzard,,Accipitridae,
,Elanoides forficatus,American Swallow-tailed Kite,,Accipitridae,Elanoides forficatus,Swallow-tailed Kite,,Accipitridae,
,Chelictinia riocourii,African Swallow-tailed Kite,,Accipitridae,Chelictinia riocourii,Scissor-tailed Kite,,Accipitridae,
,Haliaeetus albicilla,White-tailed Eagle,,Accipitridae,Haliaeetus albicilla,White-tailed Sea-eagle,,Accipitridae,
,Ichthyophaga humilis,Lesser Fish-eagle,,Accipitridae,Icthyophaga humilis,Lesser Fish-eagle,,Accipitridae,
,Ichthyophaga ichthyaetus,Grey-headed Fish-eagle,,Accipitridae,Icthyophaga ichthyaetus,Grey-headed Fish-eagle,,Accipitridae,
,Gypaetus barbatus,Lammergeier,,Accipitridae,Gypaetus barbatus,Bearded Vulture,,Accipitridae,
,Gyps rueppellii,Rueppell's Vulture,,Accipitridae,Gyps rueppelli,Rüppell's Vulture,,Accipitridae,
,Gyps himalayensis,Himalayan Vulture,,Accipitridae,Gyps himalayensis,Himalayan Griffon,,Accipitridae,
,Circaetus cinerascens,Banded Snake-eagle,,Accipitridae,Circaetus cinerascens,Western Banded Snake-eagle,,Accipitridae,
,Spilornis klossi,South Nicobar Serpent-eagle,,Accipitridae,Spilornis klossi,Great Nicobar Serpent-eagle,,Accipitridae,
,Spilornis kinabaluensis,Mountain Serpent-eagle,,Accipitridae,Spilornis kinabaluensis,Kinabalu Serpent-eagle,,Accipitridae,
,Circus spilonotus,Eastern Marsh-harrier,,Accipitridae,,,,,
,,,,,Circus spilonotus,Eastern Marsh-harrier,,Accipitridae,
,,,,,Circus spilothorax,Papuan Harrier,,Accipitridae,
,Circus maillardi,Reunion Harrier,,Accipitridae,Circus maillardi,Reunion Marsh-harrier,,Accipitridae,
,Circus macrosceles,Madagascar Harrier,,Accipitridae,Circus macrosceles,Madagascar Marsh-harrier,,Accipitridae,
,Circus cyaneus,Northern Harrier,,Accipitridae,,,,,
,,,,,Circus cyaneus,Hen Harrier,,Accipitridae,
,,,,,Circus hudsonius,Northern Harrier,,Accipitridae,
,Melierax gabar,Gabar Goshawk,,Accipitridae,Micronisus gabar,Gabar Goshawk,,Accipitridae,
,Accipiter poliogaster,Gray-bellied Hawk,,Accipitridae,Accipiter poliogaster,Grey-bellied Goshawk,,Accipitridae,
,,,,,Accipiter toussenelii,Red-chested Goshawk,,Accipitridae,
,Accipiter tachiro,African Goshawk,,Accipitridae,,,,,
,,,,,Accipiter tachiro,African Goshawk,,Accipitridae,
,Accipiter soloensis,Chinese Goshawk,,Accipitridae,Accipiter soloensis,Chinese Sparrowhawk,,Accipitridae,
,Accipiter novaehollandiae,Grey Goshawk,,Accipitridae,,,,,
,,,,,Accipiter novaehollandiae,Grey Goshawk,,Accipitridae,
,,,,,Accipiter hiogaster,Variable Goshawk,,Accipitridae,
,,,,,Accipiter sylvestris,Lesser Sundas Goshawk,,Accipitridae,
,Accipiter luteoschistaceus,Slaty-mantled Sparrowhawk,,Accipitridae,Accipiter luteoschistaceus,Slaty-backed Goshawk,,Accipitridae,
,Accipiter imitator,Imitator Sparrowhawk,,Accipitridae,Accipiter imitator,Imitator Goshawk,,Accipitridae,
,Accipiter collaris,Semicollared Hawk,,Accipitridae,Accipiter collaris,Semi-collared Hawk,,Accipitridae,
,Accipiter erythropus,Red-thighed Sparrowhawk,,Accipitridae,Accipiter erythropus,Red-legged Sparrowhawk,,Accipitridae,
,,,,,Accipiter gularis,Japanese Sparrowhawk,,Accipitridae,
,Accipiter gularis,Japanese Sparrowhawk,,Accipitridae,,,,,
,Accipiter virgatus,Besra,,Accipitridae,,,,,
,,,,,Accipiter virgatus,Besra,,Accipitridae,
,Accipiter nanus,Small Sparrowhawk,,Accipitridae,Accipiter nanus,Dwarf Sparrowhawk,,Accipitridae,
,Accipiter ovampensis,Ovampo Sparrowhawk,,Accipitridae,Accipiter ovampensis,Ovambo Sparrowhawk,,Accipitridae,
,Accipiter rufiventris,Rufous-chested Sparrowhawk,,Accipitridae,Accipiter rufiventris,Rufous-breasted Sparrowhawk,,Accipitridae,
,Accipiter bicolor,Bicoloured Hawk,,Accipitridae,Accipiter bicolor,Bicolored Hawk,,Accipitridae,
,Accipiter melanoleucus,Black Goshawk,,Accipitridae,Accipiter melanoleucus,Black Sparrowhawk,,Accipitridae,
,Leucopternis plumbeus,Plumbeous Hawk,,Accipitridae,Cryptoleucopteryx plumbea,Plumbeous Hawk,,Accipitridae,
,Leucopternis schistaceus,Slate-coloured Hawk,,Accipitridae,Buteogallus schistaceus,Slate-colored Hawk,,Accipitridae,
,Leucopternis princeps,Barred Hawk,,Accipitridae,Morphnarchus princeps,Barred Hawk,,Accipitridae,
,Leucopternis lacernulatus,White-necked Hawk,,Accipitridae,Buteogallus lacernulatus,White-necked Hawk,,Accipitridae,
,Leucopternis albicollis,White Hawk,,Accipitridae,Pseudastur albicollis,White Hawk,,Accipitridae,
,Leucopternis occidentalis,Grey-backed Hawk,,Accipitridae,Pseudastur occidentalis,Grey-backed Hawk,,Accipitridae,
,Leucopternis polionotus,Mantled Hawk,,Accipitridae,Pseudastur polionotus,Mantled Hawk,,Accipitridae,
,Buteogallus anthracinus,Common Black-hawk,,Accipitridae,Buteogallus anthracinus,Common Black Hawk,,Accipitridae,
,Buteogallus urubitinga,Great Black-hawk,,Accipitridae,Buteogallus urubitinga,Great Black Hawk,,Accipitridae,
,Harpyhaliaetus solitarius,Solitary Eagle,,Accipitridae,Buteogallus solitarius,Black Solitary Eagle,,Accipitridae,
