Scientific name,Common name,Alternate name,Family name,Scientific name2,Common name2,Alternate name2,Family name2,View
Puffinus griseus,Sooty Shearwater,,Procellariidae,Ardenna grisea,Sooty Shearwater,,Procellariidae,
Puffinus tenuirostris,Short-tailed Shearwater,,Procellariidae,Ardenna tenuirostris,Short-tailed Shearwater,,Procellariidae,
Puffinus newelli,Newell's Shearwater,,Procellariidae,,,,,
,,,,Puffinus newelli,Newell's Shearwater,,Procellariidae,
,,,,Puffinus myrtae,Rapa Shearwater,,Procellariidae,
Puffinus lherminieri,Audubon's Shearwater,,Procellariidae,,,,,
,,,,Puffinus lherminieri,Audubon's Shearwater,,Procellariidae,
Puffinus assimilis,Little Shearwater,,Procellariidae,,,,,
,,,,Puffinus assimilis,Little Shearwater,,Procellariidae,
,,,,Puffinus elegans,Subantarctic Shearwater,,Procellariidae,
Puffinus baroli,Macaronesian Shearwater,,Procellariidae,,,,,
,,,,Puffinus bryani,Bryan's Shearwater,,Procellariidae,
Oceanites oceanicus,Wilson's Storm Petrel,,Hydrobatidae,Oceanites oceanicus,Wilson's Storm-petrel,,Oceanitidae,
Oceanites maorianus,New Zealand Storm Petrel,,Hydrobatidae,Fregetta maoriana,New Zealand Storm-petrel,,Oceanitidae,
Oceanites gracilis,Elliot's Storm Petrel,,Hydrobatidae,Oceanites gracilis,White-vented Storm-petrel,,Oceanitidae,
,,,,Oceanites pincoyae,Pincoya Storm-petrel,,Oceanitidae,
Garrodia nereis,Grey-backed Storm Petrel,,Hydrobatidae,Garrodia nereis,Grey-backed Storm-petrel,,Oceanitidae,
Pelagodroma marina,White-faced Storm Petrel,,Hydrobatidae,Pelagodroma marina,White-faced Storm-petrel,,Oceanitidae,
Fregetta tropica,Black-bellied Storm Petrel,,Hydrobatidae,Fregetta tropica,Black-bellied Storm-petrel,,Oceanitidae,
Fregetta grallaria,White-bellied Storm Petrel,,Hydrobatidae,Fregetta grallaria,White-bellied Storm-petrel,,Oceanitidae,
Nesofregetta fuliginosa,Polynesian Storm Petrel,,Hydrobatidae,Nesofregetta fuliginosa,Polynesian Storm-petrel,,Oceanitidae,
Hydrobates pelagicus,European Storm Petrel,,Hydrobatidae,Hydrobates pelagicus,European Storm-petrel,,Hydrobatidae,
Oceanodroma microsoma,Least Storm Petrel,,Hydrobatidae,Hydrobates microsoma,Least Storm-petrel,,Hydrobatidae,
Oceanodroma tethys,Wedge-rumped Storm Petrel,,Hydrobatidae,Hydrobates tethys,Wedge-rumped Storm-petrel,,Hydrobatidae,
Oceanodroma castro,Band-rumped Storm Petrel,,Hydrobatidae,Hydrobates castro,Band-rumped Storm-petrel,,Hydrobatidae,
Oceanodroma jabejabe,Cape Verde Storm Petrel,,Hydrobatidae,Hydrobates jabejabe,Cape Verde Storm-petrel,,Hydrobatidae,
Oceanodroma monteiroi,Monteiro's Storm Petrel,,Hydrobatidae,Hydrobates monteiroi,Monteiro's Storm-petrel,,Hydrobatidae,
Oceanodroma leucorhoa,Leach's Storm Petrel,,Hydrobatidae,,,,,
,,,,Hydrobates leucorhous,Leach's Storm-petrel,,Hydrobatidae,
,,,,Hydrobates socorroensis,Townsend's Storm-petrel,,Hydrobatidae,
,,,,Hydrobates cheimomnestes,Ainley's Storm-petrel,,Hydrobatidae,
Oceanodroma monorhis,Swinhoe's Storm Petrel,,Hydrobatidae,Hydrobates monorhis,Swinhoe's Storm-petrel,,Hydrobatidae,
,,,,Hydrobates macrodactylus,Guadalupe Storm-petrel,,Hydrobatidae,
Oceanodroma tristrami,Tristram's Storm Petrel,,Hydrobatidae,Hydrobates tristrami,Tristram's Storm-petrel,,Hydrobatidae,
Oceanodroma markhami,Markham's Storm Petrel,,Hydrobatidae,Hydrobates markhami,Markham's Storm-petrel,,Hydrobatidae,
Oceanodroma matsudairae,Matsudaira's Storm Petrel,,Hydrobatidae,Hydrobates matsudairae,Matsudaira's Storm-petrel,,Hydrobatidae,
Oceanodroma melania,Black Storm Petrel,,Hydrobatidae,Hydrobates melania,Black Storm-petrel,,Hydrobatidae,
Oceanodroma homochroa,Ashy Storm Petrel,,Hydrobatidae,Hydrobates homochroa,Ashy Storm-petrel,,Hydrobatidae,
Oceanodroma hornbyi,Hornby's Storm Petrel,,Hydrobatidae,Hydrobates hornbyi,Ringed Storm-petrel,,Hydrobatidae,
Oceanodroma furcata,Fork-tailed Storm Petrel,,Hydrobatidae,Hydrobates furcatus,Fork-tailed Storm-petrel,,Hydrobatidae,
Pelecanoides garnotii,Peruvian Diving Petrel,,Pelecanoididae,Pelecanoides garnotii,Peruvian Diving-petrel,,Procellariidae,
Pelecanoides magellani,Magellanic Diving Petrel,,Pelecanoididae,Pelecanoides magellani,Magellanic Diving-petrel,,Procellariidae,
Pelecanoides georgicus,South Georgia Diving Petrel,,Pelecanoididae,Pelecanoides georgicus,South Georgia Diving-petrel,,Procellariidae,
,,,,Pelecanoides whenuahouensis,Whenua Hou Diving-petrel,,Procellariidae,
Pelecanoides urinatrix,Common Diving Petrel,,Pelecanoididae,Pelecanoides urinatrix,Common Diving-petrel,,Procellariidae,
Microcarbo africanus,Reed Cormorant,,Phalacrocoracidae,Microcarbo africanus,Long-tailed Cormorant,,Phalacrocoracidae,
Microcarbo pygmeus,Pygmy Cormorant,,Phalacrocoracidae,Microcarbo pygmaeus,Pygmy Cormorant,,Phalacrocoracidae,
,,,,Urile perspicillatus,Spectacled Cormorant,,Phalacrocoracidae,
Phalacrocorax penicillatus,Brandt's Cormorant,,Phalacrocoracidae,Urile penicillatus,Brandt's Cormorant,,Phalacrocoracidae,
Phalacrocorax harrisi,Flightless Cormorant,,Phalacrocoracidae,Nannopterum harrisi,Flightless Cormorant,,Phalacrocoracidae,
Phalacrocorax brasilianus,Neotropic Cormorant,,Phalacrocoracidae,Nannopterum brasilianus,Neotropical Cormorant,,Phalacrocoracidae,
Phalacrocorax auritus,Double-crested Cormorant,,Phalacrocoracidae,Nannopterum auritus,Double-crested Cormorant,,Phalacrocoracidae,
Phalacrocorax varius,Australian Pied Cormorant,,Phalacrocoracidae,Phalacrocorax varius,Great Pied Cormorant,,Phalacrocoracidae,
,,,,Phalacrocorax carbo,Great Cormorant,,Phalacrocoracidae,
Phalacrocorax carbo,Great Cormorant,,Phalacrocoracidae,,,,,
Phalacrocorax lucidus,White-breasted Cormorant,,Phalacrocoracidae,,,,,
Leucocarbo bougainvillii,Guanay Cormorant,,Phalacrocoracidae,Leucocarbo bougainvilliorum,Guanay Cormorant,,Phalacrocoracidae,
Leucocarbo albiventer,King Shag,,Phalacrocoracidae,,,,,
,,,,Leucocarbo atriceps,Imperial Shag,,Phalacrocoracidae,
Leucocarbo atriceps,Imperial Shag,,Phalacrocoracidae,,,,,
Leucocarbo chalconotus,Bronze Shag,,Phalacrocoracidae,Leucocarbo chalconotus,Stewart Shag,,Phalacrocoracidae,
Phalacrocorax magellanicus,Rock Shag,,Phalacrocoracidae,Leucocarbo magellanicus,Rock Shag,,Phalacrocoracidae,
Phalacrocorax urile,Red-faced Cormorant,,Phalacrocoracidae,Urile urile,Red-faced Cormorant,,Phalacrocoracidae,
Phalacrocorax pelagicus,Pelagic Cormorant,,Phalacrocoracidae,Urile pelagicus,Pelagic Cormorant,,Phalacrocoracidae,
Phalacrocorax aristotelis,European Shag,,Phalacrocoracidae,Gulosus aristotelis,European Shag,,Phalacrocoracidae,
Phalacrocorax gaimardi,Red-legged Cormorant,,Phalacrocoracidae,Poikilocarbo gaimardi,Red-legged Cormorant,,Phalacrocoracidae,
Egretta dimorpha,Dimorphic Egret,,Ardeidae,,,,,
,,,,Egretta gularis,Western Reef-egret,,Ardeidae,
Egretta gularis,Western Reef Heron,,Ardeidae,,,,,
Egretta sacra,Pacific Reef Heron,,Ardeidae,Egretta sacra,Pacific Reef-egret,,Ardeidae,
Ardea humbloti,Humblot's Heron,,Ardeidae,Ardea humbloti,Madagascar Heron,,Ardeidae,
,,,,Ardea alba,Great White Egret,,Ardeidae,
Ardea alba,Western Great Egret,,Ardeidae,,,,,
Ardea modesta,Eastern Great Egret,,Ardeidae,,,,,
Egretta intermedia,Intermediate Egret,,Ardeidae,,,,,
,,,,Ardea intermedia,Intermediate Egret,,Ardeidae,
,,,,Ardea brachyrhyncha,Yellow-billed Egret,,Ardeidae,
,,,,Ardea plumifera,Plumed Egret,,Ardeidae,
,,,,Bubulcus ibis,Cattle Egret,,Ardeidae,
Bubulcus ibis,Western Cattle Egret,,Ardeidae,,,,,
Bubulcus coromandus,Eastern Cattle Egret,,Ardeidae,,,,,
Ardeola grayii,Indian Pond Heron,,Ardeidae,Ardeola grayii,Indian Pond-heron,,Ardeidae,
Ardeola bacchus,Chinese Pond Heron,,Ardeidae,Ardeola bacchus,Chinese Pond-heron,,Ardeidae,
Ardeola speciosa,Javan Pond Heron,,Ardeidae,Ardeola speciosa,Javan Pond-heron,,Ardeidae,
Ardeola idae,Malagasy Pond Heron,,Ardeidae,Ardeola idae,Madagascar Pond-heron,,Ardeidae,
,,,,Butorides striata,Green-backed Heron,,Ardeidae,
Butorides striata,Striated Heron,,Ardeidae,,,,,
Butorides virescens,Green Heron,,Ardeidae,,,,,
Butorides sundevalli,Lava Heron,,Ardeidae,,,,,
Nyctanassa violacea,Yellow-crowned Night Heron,,Ardeidae,Nyctanassa violacea,Yellow-crowned Night-heron,,Ardeidae,
Nycticorax nycticorax,Black-crowned Night Heron,,Ardeidae,Nycticorax nycticorax,Black-crowned Night-heron,,Ardeidae,
Nycticorax caledonicus,Nankeen Night Heron,,Ardeidae,Nycticorax caledonicus,Rufous Night-heron,,Ardeidae,
,,,,Nycticorax mauritianus,Mauritius Night-heron,,Ardeidae,
,,,,Nycticorax megacephalus,Rodrigues Night-heron,,Ardeidae,
,,,,Nycticorax duboisi,Reunion Night-heron,,Ardeidae,
Gorsachius leuconotus,White-backed Night Heron,,Ardeidae,Calherodius leuconotus,White-backed Night-heron,,Ardeidae,
Gorsachius magnificus,White-eared Night Heron,,Ardeidae,Gorsachius magnificus,White-eared Night-heron,,Ardeidae,
Gorsachius goisagi,Japanese Night Heron,,Ardeidae,Gorsachius goisagi,Japanese Night-heron,,Ardeidae,
Gorsachius melanolophus,Malayan Night Heron,,Ardeidae,Gorsachius melanolophus,Malay Night-heron,,Ardeidae,
Tigrisoma mexicanum,Bare-throated Tiger Heron,,Ardeidae,Tigrisoma mexicanum,Bare-throated Tiger-heron,,Ardeidae,
Tigrisoma fasciatum,Fasciated Tiger Heron,,Ardeidae,Tigrisoma fasciatum,Fasciated Tiger-heron,,Ardeidae,
Tigrisoma lineatum,Rufescent Tiger Heron,,Ardeidae,Tigrisoma lineatum,Rufescent Tiger-heron,,Ardeidae,
Tigriornis leucolopha,White-crested Tiger Heron,,Ardeidae,Tigriornis leucolopha,White-crested Tiger-heron,,Ardeidae,
Ixobrychus minutus,Little Bittern,,Ardeidae,Ixobrychus minutus,Common Little Bittern,,Ardeidae,
Ixobrychus dubius,Black-backed Bittern,,Ardeidae,Ixobrychus dubius,Australian Little Bittern,,Ardeidae,
,,,,Ixobrychus novaezelandiae,New Zealand Little Bittern,,Ardeidae,
Ixobrychus eurhythmus,Von Schrenck's Bittern,,Ardeidae,Ixobrychus eurhythmus,Schrenck's Bittern,,Ardeidae,
Dupetor flavicollis,Black Bittern,,Ardeidae,Ixobrychus flavicollis,Black Bittern,,Ardeidae,
Eudocimus albus,American White Ibis,,Threskiornithidae,Eudocimus albus,White Ibis,,Threskiornithidae,
,,,,Theristicus branickii,Andean Ibis,,Threskiornithidae,
Theristicus melanopis,Black-faced Ibis,,Threskiornithidae,,,,,
,,,,Theristicus melanopis,Black-faced Ibis,,Threskiornithidae,
Bostrychia bocagei,Sao Tome Ibis,,Threskiornithidae,Bostrychia bocagei,Dwarf Ibis,,Threskiornithidae,
Lophotibis cristata,Madagascar Ibis,,Threskiornithidae,Lophotibis cristata,Madagascar Crested Ibis,,Threskiornithidae,
Threskiornis bernieri,Malagasy Sacred Ibis,,Threskiornithidae,Threskiornis bernieri,Madagascar Sacred Ibis,,Threskiornithidae,
Threskiornis molucca,Australian White Ibis,,Threskiornithidae,Threskiornis moluccus,Australian Ibis,,Threskiornithidae,
,,,,Threskiornis solitarius,Reunion Ibis,,Threskiornithidae,
Pseudibis gigantea,Giant Ibis,,Threskiornithidae,Thaumatibis gigantea,Giant Ibis,,Threskiornithidae,
Nipponia nippon,Crested Ibis,,Threskiornithidae,Nipponia nippon,Asian Crested Ibis,,Threskiornithidae,
Ciconia episcopus,Woolly-necked Stork,,Ciconiidae,,,,,
,,,,Ciconia episcopus,Asian Woollyneck,,Ciconiidae,
,,,,Ciconia microscelis,African Woollyneck,,Ciconiidae,
Ephippiorhynchus senegalensis,Saddle-billed Stork,,Ciconiidae,Ephippiorhynchus senegalensis,Saddlebill,,Ciconiidae,
Leptoptilos crumeniferus,Marabou Stork,,Ciconiidae,Leptoptilos crumenifer,Marabou,,Ciconiidae,
Coragyps atratus,Black Vulture,,Cathartidae,Coragyps atratus,American Black Vulture,,Cathartidae,
Phoenicoparrus jamesi,James's Flamingo,,Phoenicopteridae,Phoenicoparrus jamesi,Puna Flamingo,,Phoenicopteridae,
Dendrocygna guttata,Spotted Whistling Duck,,Anatidae,Dendrocygna guttata,Spotted Whistling-duck,,Anatidae,
Dendrocygna eytoni,Plumed Whistling Duck,,Anatidae,Dendrocygna eytoni,Plumed Whistling-duck,,Anatidae,
Dendrocygna bicolor,Fulvous Whistling Duck,,Anatidae,Dendrocygna bicolor,Fulvous Whistling-duck,,Anatidae,
Dendrocygna arcuata,Wandering Whistling Duck,,Anatidae,Dendrocygna arcuata,Wandering Whistling-duck,,Anatidae,
Dendrocygna javanica,Lesser Whistling Duck,,Anatidae,Dendrocygna javanica,Lesser Whistling-duck,,Anatidae,
Dendrocygna viduata,White-faced Whistling Duck,,Anatidae,Dendrocygna viduata,White-faced Whistling-duck,,Anatidae,
Dendrocygna arborea,West Indian Whistling Duck,,Anatidae,Dendrocygna arborea,West Indian Whistling-duck,,Anatidae,
Dendrocygna autumnalis,Black-bellied Whistling Duck,,Anatidae,Dendrocygna autumnalis,Black-bellied Whistling-duck,,Anatidae,
Oxyura jamaicensis,Ruddy Duck,,Anatidae,,,,,
,,,,Oxyura jamaicensis,Ruddy Duck,,Anatidae,
,,,,Oxyura ferruginea,Andean Duck,,Anatidae,
Oxyura ferruginea,Andean Duck,,Anatidae,,,,,
Anser cygnoides,Swan Goose,,Anatidae,Anser cygnoid,Swan Goose,,Anatidae,
,,,,Anser fabalis,Bean Goose,,Anatidae,
Anser fabalis,Taiga Bean Goose,,Anatidae,,,,,
Anser serrirostris,Tundra Bean Goose,,Anatidae,,,,,
Chen caerulescens,Snow Goose,,Anatidae,Anser caerulescens,Snow Goose,,Anatidae,
Chen rossii,Ross's Goose,,Anatidae,Anser rossii,Ross's Goose,,Anatidae,
Chen canagica,Emperor Goose,,Anatidae,Anser canagicus,Emperor Goose,,Anatidae,
Branta sandvicensis,Nene,,Anatidae,Branta sandvicensis,Hawaiian Goose,,Anatidae,
Branta bernicla,Brant Goose,,Anatidae,Branta bernicla,Brent Goose,,Anatidae,
,,,,Alopochen mauritiana,Mauritius Shelduck,,Anatidae,
,,,,Alopochen kervazoi,Reunion Shelduck,,Anatidae,
,,,,Tadorna cristata,Crested Shelduck,,Anatidae,
Tadorna radjah,Raja Shelduck,,Anatidae,Radjah radjah,Radjah Shelduck,,Anatidae,
Tachyeres pteneres,Fuegian Steamer Duck,,Anatidae,Tachyeres pteneres,Magellanic Steamerduck,,Anatidae,
Tachyeres leucocephalus,Chubut Steamer Duck,,Anatidae,Tachyeres leucocephalus,White-headed Steamerduck,,Anatidae,
Tachyeres brachypterus,Falkland Steamer Duck,,Anatidae,Tachyeres brachypterus,Falkland Steamerduck,,Anatidae,
Tachyeres patachonicus,Flying Steamer Duck,,Anatidae,Tachyeres patachonicus,Flying Steamerduck,,Anatidae,
Sarkidiornis melanotos,Knob-billed Duck,,Anatidae,Sarkidiornis melanotos,African Comb Duck,,Anatidae,
Sarkidiornis sylvicola,Comb Duck,,Anatidae,Sarkidiornis sylvicola,American Comb Duck,,Anatidae,
Nettapus pulchellus,Green Pygmy Goose,,Anatidae,Nettapus pulchellus,Green Pygmy-goose,,Anatidae,
Nettapus coromandelianus,Cotton Pygmy Goose,,Anatidae,Nettapus coromandelianus,Cotton Pygmy-goose,,Anatidae,
Nettapus auritus,African Pygmy Goose,,Anatidae,Nettapus auritus,African Pygmy-goose,,Anatidae,
,,,,Chenonetta finschi,Finsch's Duck,,Anatidae,
Anas penelope,Eurasian Wigeon,,Anatidae,Mareca penelope,Eurasian Wigeon,,Anatidae,
Anas americana,American Wigeon,,Anatidae,Mareca americana,American Wigeon,,Anatidae,
Anas sibilatrix,Chiloe Wigeon,,Anatidae,Mareca sibilatrix,Chiloe Wigeon,,Anatidae,
,,,,Anas marecula,Amsterdam Duck,,Anatidae,
Anas falcata,Falcated Duck,,Anatidae,Mareca falcata,Falcated Duck,,Anatidae,
Anas strepera,Gadwall,,Anatidae,Mareca strepera,Gadwall,,Anatidae,
Anas formosa,Baikal Teal,,Anatidae,Sibirionetta formosa,Baikal Teal,,Anatidae,
,,,,Anas crecca,Common Teal,,Anatidae,
Anas crecca,Eurasian Teal,,Anatidae,,,,,
Anas carolinensis,Green-winged Teal,,Anatidae,,,,,
Anas bernieri,Bernier's Teal,,Anatidae,Anas bernieri,Madagascar Teal,,Anatidae,
Anas diazi,Mexican Duck,,Anatidae,,,,,
,,,,Anas fulvigula,Mottled Duck,,Anatidae,
Anas fulvigula,Mottled Duck,,Anatidae,,,,,
Anas zonorhyncha,Eastern Spot-billed Duck,,Anatidae,Anas zonorhyncha,Chinese Spot-billed Duck,,Anatidae,
Speculanas specularis,Bronze-winged Duck,,Anatidae,Speculanas specularis,Spectacled Duck,,Anatidae,
Anas eatoni,Eaton's Pintail,,Anatidae,Anas eatoni,Southern Pintail,,Anatidae,
Anas puna,Puna Teal,,Anatidae,Spatula puna,Puna Teal,,Anatidae,
Anas versicolor,Silver Teal,,Anatidae,Spatula versicolor,Silver Teal,,Anatidae,
Anas hottentota,Hottentot Teal,,Anatidae,Spatula hottentota,Hottentot Teal,,Anatidae,
Anas querquedula,Garganey,,Anatidae,Spatula querquedula,Garganey,,Anatidae,
Anas discors,Blue-winged Teal,,Anatidae,Spatula discors,Blue-winged Teal,,Anatidae,
Anas cyanoptera,Cinnamon Teal,,Anatidae,Spatula cyanoptera,Cinnamon Teal,,Anatidae,
Anas platalea,Red Shoveler,,Anatidae,Spatula platalea,Red Shoveler,,Anatidae,
Anas smithii,Cape Shoveler,,Anatidae,Spatula smithii,Cape Shoveler,,Anatidae,
Anas rhynchotis,Australasian Shoveler,,Anatidae,Spatula rhynchotis,Australian Shoveler,,Anatidae,
Anas clypeata,Northern Shoveler,,Anatidae,Spatula clypeata,Northern Shoveler,,Anatidae,
,,,,Anas theodori,Mauritius Duck,,Anatidae,
Marmaronetta angustirostris,Marbled Duck,,Anatidae,Marmaronetta angustirostris,Marbled Teal,,Anatidae,
,,,,Rhodonessa caryophyllacea,Pink-headed Duck,,Anatidae,
,,,,Camptorhynchus labradorius,Labrador Duck,,Anatidae,
Melanitta deglandi,White-winged Scoter,,Anatidae,,,,,
,,,,Melanitta deglandi,White-winged Scoter,,Anatidae,
,,,,Melanitta stejnegeri,Siberian Scoter,,Anatidae,
Mergus merganser,Common Merganser,,Anatidae,Mergus merganser,Goosander,,Anatidae,
,,,,Mergus australis,Auckland Merganser,,Anatidae,
,,,,Pandion haliaetus,Osprey,,Pandionidae,
Pandion haliaetus,Western Osprey,,Pandionidae,,,,,
Pandion cristatus,Eastern Osprey,,Pandionidae,,,,,
Henicopernis longicauda,Long-tailed Honey Buzzard,,Accipitridae,Henicopernis longicauda,Long-tailed Honey-buzzard,,Accipitridae,
Henicopernis infuscatus,Black Honey Buzzard,,Accipitridae,Henicopernis infuscatus,Black Honey-buzzard,,Accipitridae,
Pernis apivorus,European Honey Buzzard,,Accipitridae,Pernis apivorus,European Honey-buzzard,,Accipitridae,
Pernis ptilorhynchus,Crested Honey Buzzard,,Accipitridae,Pernis ptilorhynchus,Oriental Honey-buzzard,,Accipitridae,
Pernis celebensis,Barred Honey Buzzard,,Accipitridae,Pernis celebensis,Sulawesi Honey-buzzard,,Accipitridae,
Pernis steerei,Philippine Honey Buzzard,,Accipitridae,Pernis steerei,Philippine Honey-buzzard,,Accipitridae,
,,,,Milvus migrans,Black Kite,,Accipitridae,
Milvus aegyptius,Yellow-billed Kite,,Accipitridae,,,,,
Milvus migrans,Black Kite,,Accipitridae,,,,,
Haliaeetus leucogaster,White-bellied Sea Eagle,,Accipitridae,Haliaeetus leucogaster,White-bellied Sea-eagle,,Accipitridae,
Haliaeetus sanfordi,Sanford's Sea Eagle,,Accipitridae,Haliaeetus sanfordi,Sanford's Sea-eagle,,Accipitridae,
Haliaeetus vocifer,African Fish Eagle,,Accipitridae,Haliaeetus vocifer,African Fish-eagle,,Accipitridae,
Haliaeetus vociferoides,Madagascar Fish Eagle,,Accipitridae,Haliaeetus vociferoides,Madagascar Fish-eagle,,Accipitridae,
Haliaeetus leucoryphus,Pallas's Fish Eagle,,Accipitridae,Haliaeetus leucoryphus,Pallas's Fish-eagle,,Accipitridae,
Haliaeetus albicilla,White-tailed Eagle,,Accipitridae,Haliaeetus albicilla,White-tailed Sea-eagle,,Accipitridae,
Haliaeetus pelagicus,Steller's Sea Eagle,,Accipitridae,Haliaeetus pelagicus,Steller's Sea-eagle,,Accipitridae,
Icthyophaga humilis,Lesser Fish Eagle,,Accipitridae,Icthyophaga humilis,Lesser Fish-eagle,,Accipitridae,
Icthyophaga ichthyaetus,Grey-headed Fish Eagle,,Accipitridae,Icthyophaga ichthyaetus,Grey-headed Fish-eagle,,Accipitridae,
Gyps rueppellii,Rüppell's Vulture,,Accipitridae,Gyps rueppelli,Rüppell's Vulture,,Accipitridae,
Gyps himalayensis,Himalayan Vulture,,Accipitridae,Gyps himalayensis,Himalayan Griffon,,Accipitridae,
Torgos tracheliotus,Lappet-faced Vulture,,Accipitridae,Torgos tracheliotos,Lappet-faced Vulture,,Accipitridae,
Circaetus gallicus,Short-toed Snake Eagle,,Accipitridae,Circaetus gallicus,Short-toed Snake-eagle,,Accipitridae,
Circaetus beaudouini,Beaudouin's Snake Eagle,,Accipitridae,Circaetus beaudouini,Beaudouin's Snake-eagle,,Accipitridae,
Circaetus pectoralis,Black-chested Snake Eagle,,Accipitridae,Circaetus pectoralis,Black-chested Snake-eagle,,Accipitridae,
Circaetus cinereus,Brown Snake Eagle,,Accipitridae,Circaetus cinereus,Brown Snake-eagle,,Accipitridae,
Circaetus fasciolatus,Southern Banded Snake Eagle,,Accipitridae,Circaetus fasciolatus,Southern Banded Snake-eagle,,Accipitridae,
Circaetus cinerascens,Western Banded Snake Eagle,,Accipitridae,Circaetus cinerascens,Western Banded Snake-eagle,,Accipitridae,
,,,,Spilornis cheela,Crested Serpent-eagle,,Accipitridae,
Spilornis cheela,Crested Serpent Eagle,,Accipitridae,,,,,
Spilornis minimus,Central Nicobar Serpent Eagle,,Accipitridae,,,,,
Spilornis klossi,Great Nicobar Serpent Eagle,,Accipitridae,Spilornis klossi,Great Nicobar Serpent-eagle,,Accipitridae,
Spilornis kinabaluensis,Mountain Serpent Eagle,,Accipitridae,Spilornis kinabaluensis,Kinabalu Serpent-eagle,,Accipitridae,
Spilornis rufipectus,Sulawesi Serpent Eagle,,Accipitridae,Spilornis rufipectus,Sulawesi Serpent-eagle,,Accipitridae,
